Monthly & Weekly Sales & Production Planner Tracking Sheet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;01st Dec 25;;;;;08th Dec 25;;;;;15th Dec 25;;;;;22nd Dec 25;;;;;Dec-25;;;;;;;
Dec-25;;;;;Week 1;;;;;Week 2;;;;;Week 3;;;;;Week 4;;;;;Performance Analysis for the Month;;;;Carry over items to Jan-26;;;
;;;;;Target;Target;Actual;Actual;Comment/Action plan (week 1);Target;Target;Actual;Actual;Comment/Action plan (week 2);Target;Target;Actual;Actual;Comment/Action plan (week 3);Target;Target;Actual;Actual;Comment/Action plan (week 4);Target;Target;Actual;Actual;(Exclude from Dec-25 target);;Comment;Action Plan
Sales Order #;Customer ;Product Type;Quantity;Amount;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;Qty;Amount;;
SO-19317;TRIDENT JUTE & HESSIAN PRODUCTS;TEX 30/2 POLYESTER RS STEAM; 1 766 ; 375 600,00 ; 1 750 ; 372 197,06 ;; 798,00 ;; 16 ; 3 402,94 ;; -   ;;;;;;;;;;;; 1 766 ; 375 600,00 ; -   ; 798,00 ; 1 766 ; 374 802,00 ;;
SO-19320;BIAS BINDING SPECIALIST cc;TEX 50/36 POLYESTER RS 1Kg; 476 ; 128 000,00 ; 450 ; 121 054,18 ; -   ; -   ;Yarn is ready, but customer wants yarn in New Year; 26 ; 6 945,82 ;; -   ;;;;;;;;;;;; 476 ; 128 000,00 ; -   ; -   ; 476 ; 128 000,00 ;;
SO-19327;TOGA LININGS (PTY) LTD;TEX 50/2 POLYESTER OE,  ; 1 613 ; 274 000,00 ; 1 500 ; 254 883,72 ; -   ; -   ;; 113 ; 19 116,28 ;; -   ;;;;;;;;;;;; 1 613 ; 274 000,00 ; -   ; -   ; 1 613 ; 274 000,00 ;;
SO-19335;ZORBCO (PTY) LTD;TEX 80/3 POLYESTER RS 5KG PRECISION WAX; 500 ; 25 250,00 ; 500 ; 25 250,00 ; 480 ; 24 240,00 ;; -   ; -   ;; -   ;;;;;;;;;;;; 500 ; 25 250,00 ; 480 ; 24 240,00 ; 20 ; 1 010,00 ;;
SO-19336;ZORBCO (PTY) LTD;TEX 80/3 POLYESTER RS 2KG WAXED; 300 ; 15 150,00 ; 300 ; 15 150,00 ; -   ; -   ;; -   ; -   ; 310 ; 15 655,00 ;;;;;;;;;;;; 300 ; 15 150,00 ; 310 ; 15 655,00 ; -   ; -   ;;
SO-19337;ZORBCO (PTY) LTD;TEX 80/3 POLYESTER RS 5KG PRECISION WAX; 500 ; 25 250,00 ; 500 ; 25 250,00 ; -   ; -   ;; -   ; -   ;; -   ;;;;;;;;;;;; 500 ; 25 250,00 ; -   ; -   ; 500 ; 25 250,00 ;;
SO-19352;GLASSER & ASSOCIATES CC  T/A AMELIA JACKSON INDUSTRIES;TEX 200/3 DOE CHOCOLATE BROWN; 50 ; 7 875,00 ; 50 ; 7 875,00 ; -   ; -   ;; -   ; -   ; 46 ; 7 245,00 ;;;;;;;;;;;; 50 ; 7 875,00 ; 46 ; 7 245,00 ; 4 ; 630,00 ;;
SO-19357;PENTAGON FIBRES (PTY) LTD;TEX 100/1 DOE SPECIAL D; 2 508 ; 330 000,00 ; 2 500 ; 329 012,96 ; 7 039 ; 926 368,89 ;; 8 ; 987,04 ; 3 838 ; 505 100,70 ;;;;;;;;;;;; 2 508 ; 330 000,00 ; 10 877 ; 1 431 469,59 ; -   ; -   ;;
SO-19382;BARRYDALE HAND WEAVERS (PTY) LTD t/a BARRYDLE HAND WEAVERS;TEX 100/1 A COTTON OE; 450 ; 28 935,00 ; 450 ; 28 935,00 ; 535 ; 34 400,50 ;; -   ; -   ;; -   ;;;;;;;;;;;; 450 ; 28 935,00 ; 535 ; 34 400,50 ; -   ; -   ;;
SO-19426;GLODINA TOWELLING (PTY) LTD;TEX 25/2 O COTTON RS 600-S; 3 339 ; 330 500,00 ; 3 300 ; 326 688,63 ; 1 654 ; 163 740,30 ;; 39 ; 3 811,37 ;; -   ;;;;;;;;;;;; 3 339 ; 330 500,00 ; 1 654 ; 163 740,30 ; 1 685 ; 166 759,70 ;;
